"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PLM00012566","BALICE, PL","2021-01-01","0.0",,"-1.1",,
"PLM00012566","BALICE, PL","2021-01-02","0.0",,"0.3",,
"PLM00012566","BALICE, PL","2021-01-03","0.0",,"1.0",,"-1.5"
"PLM00012566","BALICE, PL","2021-01-04","0.0",,"1.7","5.9",
"PLM00012566","BALICE, PL","2021-01-05","7.4",,"2.2","3.4",
"PLM00012566","BALICE, PL","2021-01-06","4.1",,"1.1","3.0","-1.5"
"PLM00012566","BALICE, PL","2021-01-07","2.8",,"0.7","1.2",
"PLM00012566","BALICE, PL","2021-01-08","0.3","10.0","0.1","3.3",
"PLM00012566","BALICE, PL","2021-01-09","0.0","10.0","-0.1","2.1","-3.0"
"PLM00012566","BALICE, PL","2021-01-10","0.0",,"-1.3","2.4",
"PLM00012566","BALICE, PL","2021-01-11","0.0",,"-4.3","1.3","-8.2"
"PLM00012566","BALICE, PL","2021-01-12","0.0",,"-3.1","2.2","-9.3"
"PLM00012566","BALICE, PL","2021-01-13","2.0","51.0","-0.4",,"-1.2"
"PLM00012566","BALICE, PL","2021-01-14","4.8","160.0","-0.8","0.1",
"PLM00012566","BALICE, PL","2021-01-15","1.5","180.0","-4.3","-0.9",
"PLM00012566","BALICE, PL","2021-01-16","2.0","201.0","-5.3",,
"PLM00012566","BALICE, PL","2021-01-17","2.8","300.0","-9.4","-4.7","-14.2"
"PLM00012566","BALICE, PL","2021-01-18","0.0","249.0","-10.3","-7.5",
"PLM00012566","BALICE, PL","2021-01-19","2.5","249.0","-1.4","2.1","-10.6"
"PLM00012566","BALICE, PL","2021-01-20","1.8","150.0","1.6","7.3",
"PLM00012566","BALICE, PL","2021-01-21","0.0","119.0","-1.6","7.1","-7.2"
"PLM00012566","BALICE, PL","2021-01-22","0.5","89.0","2.9","10.2","-5.3"
"PLM00012566","BALICE, PL","2021-01-23","0.0","61.0","4.3",,"-0.7"
"PLM00012566","BALICE, PL","2021-01-24","0.0","61.0","1.6","5.3",
"PLM00012566","BALICE, PL","2021-01-25","0.8","41.0","0.3","1.8",
"PLM00012566","BALICE, PL","2021-01-26","0.3","41.0","-0.9","0.6",
